Kowert R,Quinn S.
Yuan C.W.T,Fussell S.R.
Keeves G.D,Westphal J.D
Keeves G.D,McDonald M.L.
Westphal J.D,McDonald M.L.
Fedor A.R,Toldi A.
Habibov N,Cheung A
Habibov N,Auchynnikava A.
Cheung A,Auchynnikava A.
Village A,Powell R
Village A,Pepper M.
Powell R,Pepper M.
Liou Y.-H,Daly A.J
Liou Y.-H,Canrinus E.T
Liou Y.-H,Forbes C.A
Liou Y.-H,Moolenaar N.M
Liou Y.-H,Cornelissen F
Liou Y.-H,Van Lare M
Liou Y.-H,Hsiao J.
Daly A.J,Canrinus E.T
Daly A.J,Forbes C.A
Daly A.J,Moolenaar N.M
Daly A.J,Cornelissen F
Daly A.J,Van Lare M
Daly A.J,Hsiao J.
Canrinus E.T,Forbes C.A
Canrinus E.T,Moolenaar N.M
Canrinus E.T,Cornelissen F
Canrinus E.T,Van Lare M
Canrinus E.T,Hsiao J.
Forbes C.A,Moolenaar N.M
Forbes C.A,Cornelissen F
Forbes C.A,Van Lare M
Forbes C.A,Hsiao J.
Moolenaar N.M,Cornelissen F
Moolenaar N.M,Van Lare M
Moolenaar N.M,Hsiao J.
Cornelissen F,Van Lare M
Cornelissen F,Hsiao J.
Van Lare M,Hsiao J.
Greffe X,Krebs A
Greffe X,Pflieger S.
Krebs A,Pflieger S.
Soriano Ayala E,Cala V.C.
Kim B,Kim Y.
Vandermeerschen H,Van Regenmortel T
Vandermeerschen H,Scheerder J.
Van Regenmortel T,Scheerder J.
Srivastav G,Gupta A.
Ko W.W,Liu G.
McGovern T,McLean T.
Wicks J.L,Morimoto S
Wicks J.L,Wicks R.H
Wicks J.L,Schulte S.R.
Morimoto S,Wicks R.H
Morimoto S,Schulte S.R.
Wicks R.H,Schulte S.R.
Su C.C,Chan N.K.
Phua J,Jin S.V
Phua J,Kim J.J.
Jin S.V,Kim J.J.
Huang L.V,Liu P.L.
Tortelli A,Sauzé D
Tortelli A,Skurnik N.
Sauzé D,Skurnik N.
McKean C,Law J
McKean C,Laing K
McKean C,Cockerill M
McKean C,Allon-Smith J
McKean C,McCartney E
McKean C,Forbes J.
Law J,Laing K
Law J,Cockerill M
Law J,Allon-Smith J
Law J,McCartney E
Law J,Forbes J.
Laing K,Cockerill M
Laing K,Allon-Smith J
Laing K,McCartney E
Laing K,Forbes J.
Cockerill M,Allon-Smith J
Cockerill M,McCartney E
Cockerill M,Forbes J.
Allon-Smith J,McCartney E
Allon-Smith J,Forbes J.
McCartney E,Forbes J.
Sudhinaraset M,Ling I
Sudhinaraset M,To T.M
Sudhinaraset M,Melo J
Sudhinaraset M,Quach T.
Ling I,To T.M
Ling I,Melo J
Ling I,Quach T.
To T.M,Melo J
To T.M,Quach T.
Melo J,Quach T.
Aten K,DiRenzo M
Aten K,Shatnawi D.
DiRenzo M,Shatnawi D.
Soriano-Ayala E,Cala V.C.
Engbers T.A,Thompson M.F
Engbers T.A,Slaper T.F.
Thompson M.F,Slaper T.F.
Jang J,Hessel H
Jang J,Dworkin J.
Hessel H,Dworkin J.
Huang M.-H,Whang T
Huang M.-H,Xuchuan L.
Whang T,Xuchuan L.
Chong S.T,Koh D
Chong S.T,Fauziah I
Chong S.T,Samsudin A.R.
Koh D,Fauziah I
Koh D,Samsudin A.R.
Fauziah I,Samsudin A.R.
Davidson T,Sanyal P.
Bennett M.R,Einolf C.J.
De Neve J.-W,Kawachi I.
Awaworyi Churchill S,Mishra V.
Story W.T,Carpiano R.M.
Peake W.O,Cooper D
Peake W.O,Fitzgerald M.A
Peake W.O,Muske G.
Cooper D,Fitzgerald M.A
Cooper D,Muske G.
Fitzgerald M.A,Muske G.
Tracey S,O’Sullivan T.L
Tracey S,Lane D.E
Tracey S,Guy E
Tracey S,Courtemanche J.
O’Sullivan T.L,Lane D.E
O’Sullivan T.L,Guy E
O’Sullivan T.L,Courtemanche J.
Lane D.E,Guy E
Lane D.E,Courtemanche J.
Guy E,Courtemanche J.
Addis E,Joxhe M.
Ambrey C,Ulichny J
Ambrey C,Fleming C.
Ulichny J,Fleming C.
Snider A,Afonso Gallegos A
Snider A,Gutiérrez I
Snider A,Sibelet N.
Afonso Gallegos A,Gutiérrez I
Afonso Gallegos A,Sibelet N.
Gutiérrez I,Sibelet N.
Yoo J.H,Jeong E.J.
Grønlie A.A,Dageid W.
ODoherty M.G,French D
ODoherty M.G,Steptoe A
ODoherty M.G,Kee F.
French D,Steptoe A
French D,Kee F.
Steptoe A,Kee F.
Guo W,Liang R.-Y
Guo W,Wang L
Guo W,Peng W.
Liang R.-Y,Wang L
Liang R.-Y,Peng W.
Wang L,Peng W.
Sarracino F,Mikucka M.
Rung A.L,Gaston S
Rung A.L,Robinson W.T
Rung A.L,Trapido E.J
Rung A.L,Peters E.S.
Gaston S,Robinson W.T
Gaston S,Trapido E.J
Gaston S,Peters E.S.
Robinson W.T,Trapido E.J
Robinson W.T,Peters E.S.
Trapido E.J,Peters E.S.
Oranye N.O,Ezeah P
Oranye N.O,Ahmad N.
Ezeah P,Ahmad N.
Dhir A,Kaur P
Dhir A,Lonka K
Dhir A,Tsai C.-C.
Kaur P,Lonka K
Kaur P,Tsai C.-C.
Lonka K,Tsai C.-C.
Howard A,Blakemore T
Howard A,Bevis M.
Blakemore T,Bevis M.
Hallam C,Zanella G.
Verwiebe R,Reinprecht C
Verwiebe R,Haindorfer R
Verwiebe R,Wiesboeck L.
Reinprecht C,Haindorfer R
Reinprecht C,Wiesboeck L.
Haindorfer R,Wiesboeck L.
Vives L,Vazquez Silva I.
Fu P.-W,Wu C.-C
Fu P.-W,Cho Y.-J.
Wu C.-C,Cho Y.-J.
Binyamin G,Carmeli A.
Quetulio-Navarra M,Znidarsic A
Quetulio-Navarra M,Niehof A.
Znidarsic A,Niehof A.
Young L.E,Jonas A.B
Young L.E,Michaels S
Young L.E,Jackson J.D
Young L.E,Pierce M.L
Young L.E,Schneider J.A.
Jonas A.B,Michaels S
Jonas A.B,Jackson J.D
Jonas A.B,Pierce M.L
Jonas A.B,Schneider J.A.
Michaels S,Jackson J.D
Michaels S,Pierce M.L
Michaels S,Schneider J.A.
Jackson J.D,Pierce M.L
Jackson J.D,Schneider J.A.
Pierce M.L,Schneider J.A.
Walcon E,Nicholson H.
Andrews R,Otto B.H.
Kohzadi N,Ahmadi M.
Pavičić J,Alfirević N
Pavičić J,Bežovan G.
Alfirević N,Bežovan G.
Arezzo M.F,Giudici C.
Sudibia I.K,Yuliarmi N.N
Sudibia I.K,Sintaasih D.K
Sudibia I.K,Marhaeni A.A.I.N.
Yuliarmi N.N,Sintaasih D.K
Yuliarmi N.N,Marhaeni A.A.I.N.
Sintaasih D.K,Marhaeni A.A.I.N.
Waverijn G,Heijmans M
Waverijn G,Groenewegen P.P.
Heijmans M,Groenewegen P.P.
Baklashova T.A,Galimova E.G
Baklashova T.A,Baklashova O.N.
Galimova E.G,Baklashova O.N.
Habibov N,Afandi E.
Sun Y,Shang R.-A.
Mulyana N,Krisnani H
Mulyana N,Resnawaty R.
Krisnani H,Resnawaty R.
Banerjee S.B,Jackson L.
Suhairom N,Mokhtar M
Suhairom N,Halim N.D
Suhairom N,Ali M
Suhairom N,Ali D.F
Suhairom N,Ibrahim N.H
Suhairom N,Tajuddin H.A.
Mokhtar M,Halim N.D
Mokhtar M,Ali M
Mokhtar M,Ali D.F
Mokhtar M,Ibrahim N.H
